ordernumber,order_date,ship_date,customer_name_index,channel,currency_code,warehouse_code,delivery_region_index,product_description_index,order_quantity,unit_selling_price,unit_cost,sales,total_cost,profit
SO - 0005452,2017-06-18,2017-06-21,33,Wholesale,NZD,AXW291,66,7,5,3986.5,1993.25,19932.5,9966.25,9966.25
SO - 0002914,2017-06-25,2017-07-13,7,Wholesale,NZD,AXW291,28,7,10,3551.0,2414.6800000000003,35510.0,24146.800000000003,11363.199999999995
SO - 0006055,2017-07-10,2017-07-23,6,Wholesale,NZD,AXW291,18,7,7,2968.1,1869.903,20776.7,13089.321,7687.379
SO - 0005347,2017-07-13,2017-07-27,5,Wholesale,NZD,AXW291,57,7,8,3852.5,3236.1,30820.0,25888.8,4931.200000000001
SO - 0003450,2017-07-18,2017-07-24,20,Wholesale,NZD,AXW291,73,7,10,254.6,178.22,2546.0,1782.2,763.8
SO - 000524,2017-07-22,2017-08-01,21,Wholesale,NZD,AXW291,28,7,5,207.7,83.08000000000001,1038.5,415.4000000000001,623.0999999999999
SO - 0005439,2017-07-25,2017-07-29,44,Wholesale,NZD,AXW291,99,7,6,180.9,139.293,1085.4,835.758,249.64200000000005
SO - 0006639,2017-07-25,2017-07-28,10,Wholesale,NZD,AXW291,76,7,5,1025.1,717.57,5125.500000000001,3587.8500000000004,1537.6500000000003
SO - 0001253,2017-07-27,2017-08-07,40,Wholesale,NZD,AXW291,3,7,6,207.7,174.46800000000002,1246.2,1046.808,199.39200000000005
SO - 0006278,2017-08-07,2017-08-11,1,Wholesale,NZD,AXW291,22,7,10,1715.2,1457.92,17152.0,14579.2,2572.7999999999997
SO - 000269,2017-08-10,2017-08-13,8,Wholesale,NZD,AXW291,57,7,5,844.2,540.288,4221.0,2701.44,1519.56
SO - 0007461,2017-08-11,2017-08-21,44,Wholesale,NZD,AXW291,31,7,5,3892.7,2763.817,19463.5,13819.085,5644.415000000001
SO - 0004943,2017-08-16,2017-09-03,25,Wholesale,NZD,AXW291,71,7,11,3986.5,2551.36,43851.5,28064.960000000003,15786.539999999995
SO - 0002938,2017-08-18,2017-09-01,38,Wholesale,NZD,AXW291,60,7,12,2572.8,1080.576,30873.6,12966.912,17906.688000000002
SO - 0001731,2017-08-20,2017-09-06,26,Wholesale,NZD,AXW291,82,7,7,194.3,79.663,1360.1,557.641,802.4590000000002
SO - 000690,2017-08-25,2017-09-01,5,Wholesale,NZD,AXW291,9,7,5,683.4,382.704,3417.0,1913.52,1503.48
SO - 0001684,2017-08-25,2017-09-12,19,Wholesale,NZD,AXW291,31,7,5,917.9,514.024,4589.5,2570.12,2019.38
SO - 0005172,2017-08-26,2017-09-07,5,Wholesale,NZD,AXW291,51,7,9,1340.0,978.2,12060.0,8803.8,3256.2000000000007
SO - 0005606,2017-08-29,2017-09-09,5,Wholesale,NZD,AXW291,17,7,5,1098.8,769.16,5494.0,3845.8,1648.2000000000005
SO - 0002043,2017-08-31,2017-09-16,2,Wholesale,NZD,AXW291,8,7,12,1011.7,536.201,12140.4,6434.412,5705.988000000001
SO - 0003371,2017-09-04,2017-09-14,16,Wholesale,NZD,AXW291,37,7,11,3899.4,3314.49,42893.4,36459.39,6434.010000000002
SO - 0003413,2017-09-07,2017-09-22,5,Wholesale,NZD,AXW291,39,7,12,5326.5,2503.455,63918.0,30041.46,33876.54
SO - 0006752,2017-09-11,2017-09-19,29,Wholesale,NZD,AXW291,37,7,11,3906.1,3203.002,42967.1,35233.022,7734.078000000001
SO - 0007953,2017-09-14,2017-09-19,42,Wholesale,NZD,AXW291,85,7,7,2345.0,1782.2,16415.0,12475.4,3939.6
SO - 0001010,2017-09-20,2017-10-06,2,Wholesale,NZD,AXW291,18,7,9,1078.7,593.2850000000001,9708.3,5339.5650000000005,4368.735000000001
SO - 0003317,2017-09-27,2017-10-14,1,Wholesale,NZD,AXW291,96,7,12,2807.3,1908.964,33687.600000000006,22907.568000000003,10780.032000000005
SO - 000695,2017-10-03,2017-10-16,43,Wholesale,NZD,AXW291,92,7,9,3852.5,3043.4750000000004,34672.5,27391.275,7281.2249999999985
SO - 0006526,2017-10-03,2017-10-12,33,Wholesale,NZD,AXW291,27,7,5,1782.2,1283.184,8911.0,6415.92,2495.08
SO - 0001124,2017-10-10,2017-10-21,20,Wholesale,NZD,AXW291,53,7,11,1695.1,1101.815,18646.1,12119.965,6526.135000000002
SO - 0003471,2017-10-11,2017-10-29,25,Wholesale,NZD,AXW291,42,7,5,1051.9,462.83600000000007,5259.5,2314.1800000000003,2945.32
SO - 0006265,2017-10-11,2017-10-14,47,Wholesale,NZD,AXW291,74,7,10,1105.5,674.355,11055.0,6743.55,4311.45
SO - 0005986,2017-10-12,2017-10-20,6,Wholesale,NZD,AXW291,46,7,11,3939.6,2560.74,43335.6,28168.140000000003,15167.459999999995
SO - 0003321,2017-10-13,2017-10-26,12,Wholesale,NZD,AXW291,16,7,5,1078.7,690.368,5393.5,3451.84,1941.66
SO - 0004297,2017-10-16,2017-11-01,25,Wholesale,NZD,AXW291,81,7,9,247.9,101.639,2231.1,914.751,1316.349
SO - 0005909,2017-10-20,2017-11-02,40,Wholesale,NZD,AXW291,4,7,9,3859.2,1813.824,34732.8,16324.416,18408.384
SO - 0006563,2017-10-25,2017-11-05,31,Wholesale,NZD,AXW291,50,7,8,2572.8,1054.848,20582.4,8438.784,12143.616000000002
SO - 0003126,2017-10-26,2017-11-09,39,Wholesale,NZD,AXW291,87,7,12,2941.3,2176.562,35295.600000000006,26118.744,9176.856000000009
SO - 0003343,2017-11-02,2017-11-14,14,Wholesale,NZD,AXW291,93,7,10,5835.7,4026.633,58357.0,40266.33,18090.67000000001
SO - 0005721,2017-11-05,2017-11-18,25,Wholesale,NZD,AXW291,83,7,12,4006.6,3125.148,48079.2,37501.776,10577.424
SO - 000515,2017-11-07,2017-11-11,6,Wholesale,NZD,AXW291,61,7,7,1829.1,1463.2800000000002,12803.7,10242.96,2560.74
SO - 000175,2017-11-08,2017-11-11,1,Wholesale,NZD,AXW291,72,7,11,2224.4,1579.324,24468.4,17372.564000000002,7095.835999999999
SO - 0002211,2017-11-09,2017-11-17,11,Wholesale,NZD,AXW291,24,7,9,2010.0,1386.9,18090.0,12482.1,5607.9000000000015
SO - 0005059,2017-11-15,2017-11-22,11,Wholesale,NZD,AXW291,26,7,8,6090.3,2618.829,48722.4,20950.632,27771.768
SO - 000262,2017-11-16,2017-11-28,31,Wholesale,NZD,AXW291,35,7,8,1105.5,652.245,8844.0,5217.96,3626.04
SO - 0004577,2017-11-17,2017-11-26,46,Wholesale,NZD,AXW291,81,7,7,1715.2,943.36,12006.4,6603.52,5402.879999999999
SO - 000153,2017-11-20,2017-12-03,8,Wholesale,NZD,AXW291,25,7,11,3926.2,3062.436,43188.2,33686.796,9501.404000000002
SO - 0005152,2017-11-21,2017-12-02,38,Wholesale,NZD,AXW291,36,7,5,1782.2,1354.472,8911.0,6772.36,2138.6400000000003
SO - 0007655,2017-11-21,2017-12-01,30,Wholesale,NZD,AXW291,43,7,11,1025.1,871.335,11276.100000000002,9584.685,1691.4150000000009
SO - 0003265,2017-11-26,2017-12-02,45,Wholesale,NZD,AXW291,55,7,8,3973.1,1708.433,31784.8,13667.464,18117.336
SO - 0004019,2017-11-28,2017-12-01,19,Wholesale,NZD,AXW291,25,7,5,850.9,570.1030000000001,4254.5,2850.5150000000003,1403.9849999999997
SO - 0007780,2017-11-29,2017-12-17,40,Wholesale,NZD,AXW291,38,7,10,3966.4,2181.5200000000004,39664.0,21815.200000000004,17848.799999999996
SO - 0003405,2017-12-03,2017-12-20,8,Wholesale,NZD,AXW291,35,7,10,5721.8,3719.17,57218.0,37191.7,20026.300000000003
SO - 0004235,2017-12-04,2017-12-20,31,Wholesale,NZD,AXW291,2,7,9,4006.6,1802.97,36059.4,16226.73,19832.67
SO - 0003335,2017-12-06,2017-12-22,19,Wholesale,NZD,AXW291,36,7,5,194.3,118.523,971.5,592.615,378.885
SO - 0004543,2017-12-08,2017-12-15,3,Wholesale,NZD,AXW291,35,7,12,6184.1,3772.301,74209.20000000001,45267.612,28941.588000000007
SO - 0006020,2017-12-19,2017-12-23,37,Wholesale,NZD,AXW291,60,7,10,5118.8,3890.288,51188.0,38902.88,12285.120000000004
SO - 000978,2017-12-21,2017-12-27,18,Wholesale,NZD,AXW291,72,7,8,180.9,135.675,1447.2,1085.4,361.8
SO - 0001662,2017-12-22,2017-12-29,48,Wholesale,NZD,AXW291,95,7,7,241.2,115.776,1688.4,810.432,877.968
SO - 0007434,2017-12-23,2018-01-03,10,Wholesale,NZD,AXW291,34,7,10,1768.8,1238.16,17688.0,12381.6,5306.4000000000015
SO - 0002146,2017-12-25,2018-01-12,33,Wholesale,NZD,AXW291,23,7,11,1896.1,1346.231,20857.1,14808.541,6048.559000000002
SO - 0006568,2018-01-01,2018-01-18,26,Wholesale,NZD,AXW291,3,7,9,234.5,194.635,2110.5,1751.715,358.7850000000001
SO - 0002641,2018-01-07,2018-01-11,2,Wholesale,NZD,AXW291,10,7,10,2613.0,1620.06,26130.0,16200.6,9929.4
SO - 0007171,2018-01-12,2018-01-20,5,Wholesale,NZD,AXW291,59,7,5,5621.3,3260.354,28106.5,16301.77,11804.73
SO - 000707,2018-01-18,2018-01-27,17,Wholesale,NZD,AXW291,39,7,5,3886.0,2797.92,19430.0,13989.6,5440.4
SO - 0002694,2018-01-21,2018-01-28,18,Wholesale,NZD,AXW291,13,7,11,1728.6,1037.16,19014.6,11408.76,7605.840000000002
SO - 0002758,2018-01-21,2018-02-02,14,Wholesale,NZD,AXW291,65,7,8,904.5,642.195,7236.0,5137.56,2098.4400000000005
SO - 0002762,2018-01-21,2018-02-04,50,Wholesale,NZD,AXW291,34,7,12,1098.8,813.112,13185.6,9757.344,3428.2559999999994
SO - 0003787,2018-01-28,2018-02-12,20,Wholesale,NZD,AXW291,16,7,12,2405.3,1250.756,28863.6,15009.072,13854.528000000002
SO - 000316,2018-02-03,2018-02-19,14,Wholesale,NZD,AXW291,10,7,5,3939.6,1969.8,19698.0,9849.0,9849.0
SO - 0001428,2018-02-04,2018-02-22,32,Wholesale,NZD,AXW291,24,7,11,2512.5,2060.25,27637.5,22662.75,4974.75
SO - 0005590,2018-02-11,2018-02-24,30,Wholesale,NZD,AXW291,49,7,11,4013.3,2528.379,44146.3,27812.169,16334.131000000005
SO - 000482,2018-02-12,2018-03-01,42,Wholesale,NZD,AXW291,10,7,6,864.3,726.012,5185.8,4356.072,829.728
SO - 0005163,2018-02-16,2018-02-28,19,Wholesale,NZD,AXW291,98,7,9,931.3,605.345,8381.7,5448.1050000000005,2933.5950000000003
SO - 0006517,2018-02-17,2018-02-27,19,Wholesale,NZD,AXW291,47,7,11,227.8,134.402,2505.8,1478.4219999999998,1027.3780000000004
SO - 0004750,2018-02-20,2018-02-28,28,Wholesale,NZD,AXW291,21,7,9,1125.6,461.496,10130.4,4153.464,5976.9360000000015
SO - 0005760,2018-02-20,2018-03-01,42,Wholesale,NZD,AXW291,82,7,7,2398.6,1750.9779999999998,16790.2,12256.846,4533.354000000001
SO - 0003449,2018-02-25,2018-03-12,29,Wholesale,NZD,AXW291,20,7,5,2599.6,1429.78,12998.0,7148.9,5849.1
SO - 0001407,2018-03-01,2018-03-06,36,Wholesale,NZD,AXW291,58,7,10,3865.9,1816.973,38659.0,18169.73,20489.27
SO - 0004190,2018-03-03,2018-03-16,18,Wholesale,NZD,AXW291,32,7,10,3946.3,2249.391,39463.0,22493.91,16969.09
SO - 0006858,2018-03-04,2018-03-19,29,Wholesale,NZD,AXW291,28,7,9,911.2,628.728,8200.800000000001,5658.552,2542.2480000000014
SO - 0003010,2018-03-08,2018-03-26,47,Wholesale,NZD,AXW291,21,7,12,2519.2000000000003,1990.1680000000003,30230.4,23882.016000000003,6348.383999999998
SO - 0007711,2018-03-08,2018-03-20,28,Wholesale,NZD,AXW291,96,7,12,1132.3,781.2869999999998,13587.6,9375.444,4212.155999999999
SO - 000194,2018-03-12,2018-03-17,11,Wholesale,NZD,AXW291,96,7,5,5031.7,4025.36,25158.5,20126.8,5031.700000000001
SO - 0003218,2018-03-16,2018-03-21,32,Wholesale,NZD,AXW291,27,7,10,1909.5,1355.745,19095.0,13557.45,5537.550000000001
SO - 0004997,2018-03-17,2018-03-22,38,Wholesale,NZD,AXW291,2,7,8,2231.1,892.44,17848.8,7139.52,10709.28
SO - 0003525,2018-03-22,2018-04-04,39,Wholesale,NZD,AXW291,20,7,12,5989.8,4552.2480000000005,71877.6,54626.97600000001,17250.623999999996
SO - 0006342,2018-03-23,2018-04-04,16,Wholesale,NZD,AXW291,84,7,11,2626.4,1891.008,28890.4,20801.088,8089.312000000002
SO - 0006006,2018-03-26,2018-04-04,2,Wholesale,NZD,AXW291,52,7,7,984.9,679.5809999999999,6894.3,4757.066999999999,2137.2330000000006
SO - 0003913,2018-03-29,2018-04-07,47,Wholesale,NZD,AXW291,57,7,6,1768.8,1167.408,10612.8,7004.448,3608.351999999999
SO - 0003400,2018-04-06,2018-04-11,10,Wholesale,NZD,AXW291,41,7,10,817.4,645.746,8174.0,6457.46,1716.54
SO - 0004547,2018-04-07,2018-04-14,9,Wholesale,NZD,AXW291,83,7,10,1139.0,569.5,11390.0,5695.0,5695.0
SO - 0004960,2018-04-09,2018-04-22,7,Wholesale,NZD,AXW291,47,7,12,3926.2,2944.65,47114.4,35335.8,11778.6
SO - 000869,2018-04-11,2018-04-25,25,Wholesale,NZD,AXW291,36,7,6,2666.6,1253.302,15999.6,7519.812,8479.787999999999
SO - 000368,2018-04-12,2018-04-21,1,Wholesale,NZD,AXW291,34,7,10,5098.7,3416.129,50987.0,34161.29,16825.71
SO - 0001154,2018-04-14,2018-04-25,35,Wholesale,NZD,AXW291,89,7,10,1695.1,1254.374,16951.0,12543.74,4407.26
SO - 0005601,2018-04-14,2018-04-28,14,Wholesale,NZD,AXW291,27,7,10,1695.1,1406.933,16951.0,14069.33,2881.67
SO - 0006721,2018-04-22,2018-05-10,8,Wholesale,NZD,AXW291,63,7,8,3477.3,1947.288,27818.4,15578.304000000002,12240.096
SO - 0002577,2018-04-24,2018-04-28,41,Wholesale,NZD,AXW291,58,7,8,958.1,795.223,7664.8,6361.784,1303.0160000000003
SO - 0004034,2018-04-28,2018-05-08,27,Wholesale,NZD,AXW291,53,7,9,3953.0,2925.22,35577.0,26326.98,9250.02
SO - 0002455,2018-05-01,2018-05-09,16,Wholesale,NZD,AXW291,25,7,7,1058.6,529.3000000000001,7410.2,3705.1,3705.1
SO - 0002588,2018-05-01,2018-05-19,34,Wholesale,NZD,AXW291,17,7,8,2271.3,1067.511,18170.4,8540.088,9630.312
SO - 000192,2018-05-14,2018-05-29,24,Wholesale,NZD,AXW291,9,7,8,1152.4,622.296,9219.2,4978.368,4240.832
SO - 0003061,2018-05-14,2018-05-19,31,Wholesale,NZD,AXW291,81,7,6,1688.4,1401.372,10130.4,8408.232,1722.1680000000017
SO - 0003324,2018-05-15,2018-05-26,49,Wholesale,NZD,AXW291,26,7,11,247.9,173.53,2726.9,1908.83,818.0700000000002
SO - 000783,2018-05-16,2018-05-21,13,Wholesale,NZD,AXW291,79,7,11,3865.9,3092.7200000000003,42524.9,34019.920000000006,8504.979999999996
SO - 0001516,2018-05-16,2018-05-19,49,Wholesale,NZD,AXW291,71,7,5,3236.1,2329.992,16180.5,11649.96,4530.540000000001
SO - 0005976,2018-05-16,2018-05-30,29,Wholesale,NZD,AXW291,64,7,7,1212.7,812.5090000000001,8488.9,5687.563000000001,2801.3369999999986
SO - 0004592,2017-01-03,2017-01-06,17,Wholesale,NZD,AXW291,6,2,12,5406.9000000000015,3676.692000000001,64882.8,44120.304,20762.496
SO - 0005716,2017-01-03,2017-01-08,11,Wholesale,NZD,AXW291,60,2,12,234.5,189.945,2814.0,2279.34,534.66
SO - 0005751,2017-01-03,2017-01-21,29,Wholesale,NZD,AXW291,47,2,5,1943.0,1651.55,9715.0,8257.75,1457.25
SO - 0003221,2017-01-11,2017-01-18,49,Wholesale,NZD,AXW291,27,2,9,2237.8,1409.814,20140.2,12688.326,7451.874
SO - 0008075,2017-01-13,2017-01-29,30,Wholesale,NZD,AXW291,84,2,7,790.6,490.172,5534.2,3431.204,2102.996
SO - 0001466,2017-01-17,2017-01-27,24,Wholesale,NZD,AXW291,94,2,10,1172.5,715.225,11725.0,7152.25,4572.75
SO - 0005207,2017-01-26,2017-02-05,32,Wholesale,NZD,AXW291,34,2,10,857.6,497.408,8576.0,4974.08,3601.92
SO - 0005249,2017-01-26,2017-01-29,15,Wholesale,NZD,AXW291,55,2,11,1192.6,632.0780000000001,13118.600000000002,6952.858000000001,6165.742000000001
SO - 0006238,2017-01-30,2017-02-04,2,Wholesale,NZD,AXW291,55,2,9,2338.3,1286.0650000000005,21044.7,11574.585000000005,9470.114999999998
SO - 0007852,2017-02-10,2017-02-15,3,Wholesale,NZD,AXW291,44,2,9,1956.4,1604.248,17607.600000000002,14438.232,3169.368000000002
SO - 0005324,2017-02-14,2017-02-24,50,Wholesale,NZD,AXW291,79,2,5,971.5,641.19,4857.5,3205.9500000000003,1651.5499999999995
SO - 000801,2017-02-16,2017-02-21,33,Wholesale,NZD,AXW291,96,2,5,1065.3,671.139,5326.5,3355.695,1970.805
SO - 0006971,2017-02-17,2017-02-28,20,Wholesale,NZD,AXW291,38,2,10,221.1,119.394,2211.0,1193.94,1017.06
SO - 000962,2017-03-03,2017-03-17,24,Wholesale,NZD,AXW291,43,2,9,837.5,644.875,7537.5,5803.875,1733.625
SO - 0002405,2017-03-05,2017-03-23,23,Wholesale,NZD,AXW291,70,2,7,964.8,694.6560000000001,6753.6,4862.592000000001,1891.008
SO - 0007671,2017-03-10,2017-03-23,16,Wholesale,NZD,AXW291,61,2,7,2559.4,1023.76,17915.8,7166.320000000001,10749.48
SO - 0002793,2017-03-17,2017-04-04,17,Wholesale,NZD,AXW291,1,2,7,1051.9,841.5200000000001,7363.300000000002,5890.64,1472.6600000000008
SO - 0004919,2017-03-20,2017-03-30,23,Wholesale,NZD,AXW291,80,2,5,1963.1,1040.4430000000002,9815.5,5202.215000000001,4613.284999999999
SO - 0002404,2017-03-21,2017-04-01,44,Wholesale,NZD,AXW291,25,2,9,6157.3,4802.694,55415.7,43224.24600000001,12191.453999999998
SO - 0002282,2017-03-27,2017-03-31,39,Wholesale,NZD,AXW291,42,2,9,2418.7000000000003,1596.3420000000003,21768.300000000003,14367.078000000003,7401.222
SO - 000230,2017-03-30,2017-04-02,6,Wholesale,NZD,AXW291,77,2,5,261.3,112.359,1306.5,561.7950000000001,744.7049999999998
SO - 0002203,2017-04-02,2017-04-13,18,Wholesale,NZD,AXW291,4,2,9,3819.0,2405.97,34371.0,21653.73,12717.27
SO - 0007494,2017-04-02,2017-04-14,29,Wholesale,NZD,AXW291,16,2,10,1943.0,796.63,19430.0,7966.3,11463.7
SO - 0005951,2017-04-07,2017-04-21,36,Wholesale,NZD,AXW291,37,2,8,3819.0,2902.44,30552.0,23219.52,7332.48
SO - 0007528,2017-04-12,2017-04-25,33,Wholesale,NZD,AXW291,62,2,6,2921.2000000000003,2307.7480000000005,17527.2,13846.488000000005,3680.7119999999977
SO - 0001966,2017-04-20,2017-04-29,23,Wholesale,NZD,AXW291,71,2,10,1172.5,973.175,11725.0,9731.75,1993.25
SO - 0005075,2017-04-24,2017-05-12,7,Wholesale,NZD,AXW291,32,2,10,1252.9,989.791,12529.0,9897.91,2631.0899999999983
SO - 0003258,2017-04-27,2017-05-06,11,Wholesale,NZD,AXW291,40,2,11,5788.8,2952.288,63676.8,32475.168,31201.632
SO - 000963,2017-04-28,2017-05-06,37,Wholesale,NZD,AXW291,43,2,12,1172.5,480.725,14070.0,5768.7,8301.3
SO - 0006414,2017-04-28,2017-05-03,11,Wholesale,NZD,AXW291,15,2,11,924.6,591.744,10170.6,6509.184,3661.416
SO - 000564,2017-04-29,2017-05-14,27,Wholesale,NZD,AXW291,52,2,5,857.6,394.496,4288.0,1972.48,2315.5199999999995
SO - 0005365,2017-05-04,2017-05-18,19,Wholesale,NZD,AXW291,77,2,9,1051.9,557.5070000000001,9467.1,5017.563,4449.537
SO - 0005975,2017-05-11,2017-05-23,5,Wholesale,NZD,AXW291,58,2,11,931.3,754.353,10244.3,8297.883000000002,1946.4169999999997
SO - 000990,2017-05-13,2017-05-27,34,Wholesale,NZD,AXW291,28,2,5,1065.3,649.833,5326.5,3249.165,2077.335
SO - 0006589,2017-05-18,2017-05-26,10,Wholesale,NZD,AXW291,77,2,8,3028.4,1423.348,24227.2,11386.784,12840.416
SO - 0005121,2017-05-19,2017-05-23,28,Wholesale,NZD,AXW291,23,2,6,5681.6,4090.752,34089.600000000006,24544.512,9545.088000000009
