ordernumber,order_date,ship_date,customer_name_index,channel,currency_code,warehouse_code,delivery_region_index,product_description_index,order_quantity,unit_selling_price,unit_cost,sales,total_cost,profit
SO - 0003881,24-03-2017,04-04-2017,40,Wholesale,NZD,AXW291,21,7,10,857.6,651.776,8576,6517.76,2058.24
SO - 0002266,26-03-2017,13-04-2017,16,Wholesale,NZD,AXW291,68,7,6,1829.1,804.804,10974.6,4828.824,6145.776
SO - 0004585,28-03-2017,08-04-2017,8,Wholesale,NZD,AXW291,80,7,6,3966.4,2141.856,23798.4,12851.136,10947.264
SO - 0003583,29-03-2017,01-04-2017,19,Wholesale,NZD,AXW291,4,7,10,261.3,167.232,2613,1672.32,940.68
SO - 0001894,31-03-2017,12-04-2017,37,Wholesale,NZD,AXW291,32,7,10,1092.1,666.181,10921,6661.81,4259.19
SO - 000258,07-04-2017,21-04-2017,28,Wholesale,NZD,AXW291,6,7,11,2385.2,1502.676,26237.2,16529.436,9707.764
SO - 0002498,14-04-2017,29-04-2017,30,Wholesale,NZD,AXW291,40,7,9,1909.5,1413.03,17185.5,12717.27,4468.23
SO - 0004584,19-04-2017,29-04-2017,18,Wholesale,NZD,AXW291,60,7,10,187.6,91.924,1876,919.24,956.76
SO - 0006036,20-04-2017,04-05-2017,1,Wholesale,NZD,AXW291,25,7,7,201,120.6,1407,844.2,562.8
SO - 0004953,03-05-2017,13-05-2017,27,Wholesale,NZD,AXW291,95,7,10,1145.7,458.28,11457,4582.8,6874.2
SO - 0005267,11-05-2017,22-05-2017,21,Wholesale,NZD,AXW291,96,7,6,2345,1195.95,14070,7175.7,6894.3
SO - 0004948,14-05-2017,26-05-2017,13,Wholesale,NZD,AXW291,89,7,5,3953,2648.51,19765,13242.55,6522.45
SO - 0005592,15-05-2017,20-05-2017,27,Wholesale,NZD,AXW291,90,7,9,1098.8,922.992,9889.2,8306.928,1582.272
SO - 0002975,17-05-2017,28-05-2017,8,Wholesale,NZD,AXW291,39,7,7,2324.9,1371.691,16274.3,9601.837,6672.463
SO - 0006224,18-05-2017,21-05-2017,49,Wholesale,NZD,AXW291,87,7,6,891.1,605.948,5346.6,3635.688,1710.912
SO - 0001882,27-05-2017,07-06-2017,18,Wholesale,NZD,AXW291,85,7,12,1038.5,768.49,12462,9221.88,3240.12
SO - 0003896,27-05-2017,01-06-2017,39,Wholesale,NZD,AXW291,22,7,8,3725.2,2644.892,29801.6,21159.136,8642.464
SO - 0004694,01-06-2017,14-06-2017,40,Wholesale,NZD,AXW291,83,7,12,1728.6,1279.164,20743.2,15349.968,5393.232
SO - 0005761,04-06-2017,12-06-2017,34,Wholesale,NZD,AXW291,4,7,7,1078.7,862.96,7550.9,6040.72,1510.18
SO - 000964,06-06-2017,20-06-2017,20,Wholesale,NZD,AXW291,1,7,10,268,123.28,2680,1232.8,1447.2
SO - 0002326,07-06-2017,20-06-2017,31,Wholesale,NZD,AXW291,18,7,9,3035.1,1578.252,27315.9,14204.268,13111.632
SO - 0004364,09-06-2017,18-06-2017,20,Wholesale,NZD,AXW291,9,7,5,1876,1050.56,9380,5252.8,4127.2
SO - 0005188,09-06-2017,17-06-2017,12,Wholesale,NZD,AXW291,82,7,7,3926.2,2002.362,27483.4,14016.534,13466.866
SO - 000620,14-06-2017,02-07-2017,23,Wholesale,NZD,AXW291,100,7,11,2405.3,1635.604,26458.3,17991.644,8466.656
SO - 0006331,15-06-2017,30-06-2017,26,Wholesale,NZD,AXW291,38,7,5,1078.7,571.711,5393.5,2858.555,2534.945
SO - 0005452,18-06-2017,21-06-2017,33,Wholesale,NZD,AXW291,66,7,5,3986.5,1993.25,19932.5,9966.25,9966.25
SO - 0002914,25-06-2017,13-07-2017,7,Wholesale,NZD,AXW291,28,7,10,3551,2414.68,35510,24146.8,11363.2
SO - 0006055,10-07-2017,23-07-2017,6,Wholesale,NZD,AXW291,18,7,7,2968.1,1869.903,20776.7,13089.321,7687.379
SO - 0005347,13-07-2017,27-07-2017,5,Wholesale,NZD,AXW291,57,7,8,3852.5,3236.1,30820,25888.8,4931.2
SO - 0003450,18-07-2017,24-07-2017,20,Wholesale,NZD,AXW291,73,7,10,254.6,178.22,2546,1782.2,763.8
SO - 000524,22-07-2017,01-08-2017,21,Wholesale,NZD,AXW291,28,7,5,207.7,83.08,1038.5,415.4,623.1
SO - 0005439,25-07-2017,29-07-2017,44,Wholesale,NZD,AXW291,99,7,6,180.9,139.293,1085.4,835.758,249.642
SO - 0006639,25-07-2017,28-07-2017,10,Wholesale,NZD,AXW291,76,7,5,1025.1,717.57,5125.5,3587.85,1537.65
SO - 0001253,27-07-2017,07-08-2017,40,Wholesale,NZD,AXW291,3,7,6,207.7,174.468,1246.2,1046.808,199.392
SO - 0006278,07-08-2017,11-08-2017,1,Wholesale,NZD,AXW291,22,7,10,1715.2,1457.92,17152,14579.2,2572.8
SO - 000269,10-08-2017,13-08-2017,8,Wholesale,NZD,AXW291,57,7,5,844.2,540.288,4221,2701.44,1519.56
SO - 0007461,11-08-2017,21-08-2017,44,Wholesale,NZD,AXW291,31,7,5,3892.7,2763.817,19463.5,13819.085,5644.415
SO - 0004943,16-08-2017,03-09-2017,25,Wholesale,NZD,AXW291,71,7,11,3986.5,2551.36,43851.5,28064.96,15786.54
SO - 0002938,18-08-2017,01-09-2017,38,Wholesale,NZD,AXW291,60,7,12,2572.8,1080.576,30873.6,12966.912,17906.688
SO - 0001731,20-08-2017,06-09-2017,26,Wholesale,NZD,AXW291,82,7,7,194.3,79.663,1360.1,557.641,802.459
SO - 000690,25-08-2017,01-09-2017,5,Wholesale,NZD,AXW291,9,7,5,683.4,382.704,3417,1913.52,1503.48
SO - 0001684,25-08-2017,12-09-2017,19,Wholesale,NZD,AXW291,31,7,5,917.9,514.024,4589.5,2570.12,2019.38
SO - 0005172,26-08-2017,07-09-2017,5,Wholesale,NZD,AXW291,51,7,9,1340,978.2,12060,8803.8,3256.2
SO - 0005606,29-08-2017,09-09-2017,5,Wholesale,NZD,AXW291,17,7,5,1098.8,769.16,5494,3845.8,1648.2
SO - 0002043,31-08-2017,16-09-2017,2,Wholesale,NZD,AXW291,8,7,12,1011.7,536.201,12140.4,6434.412,5705.988
SO - 0003371,04-09-2017,14-09-2017,16,Wholesale,NZD,AXW291,37,7,11,3899.4,3314.49,42893.4,36459.39,6434.01
SO - 0003413,07-09-2017,22-09-2017,5,Wholesale,NZD,AXW291,39,7,12,5326.5,2503.455,63918,30041.46,33876.54
SO - 0006752,11-09-2017,19-09-2017,29,Wholesale,NZD,AXW291,37,7,11,3906.1,3203.002,42967.1,35233.022,7734.078
SO - 0007953,14-09-2017,19-09-2017,42,Wholesale,NZD,AXW291,85,7,7,2345,1782.2,16415,12475.4,3939.6
SO - 0001010,20-09-2017,06-10-2017,2,Wholesale,NZD,AXW291,18,7,9,1078.7,593.285,9708.3,5339.565,4368.735
SO - 0003317,27-09-2017,14-10-2017,1,Wholesale,NZD,AXW291,96,7,12,2807.3,1908.964,33687.6,22907.568,10780.032
SO - 000695,03-10-2017,16-10-2017,43,Wholesale,NZD,AXW291,92,7,9,3852.5,3043.475,34672.5,27391.275,7281.225
SO - 0006526,03-10-2017,12-10-2017,33,Wholesale,NZD,AXW291,27,7,5,1782.2,1283.184,8911,6415.92,2495.08
SO - 0001124,10-10-2017,21-10-2017,20,Wholesale,NZD,AXW291,53,7,11,1695.1,1101.815,18646.1,12119.965,6526.135
SO - 0003471,11-10-2017,29-10-2017,25,Wholesale,NZD,AXW291,42,7,5,1051.9,462.836,5259.5,2314.18,2945.32
SO - 0006265,11-10-2017,14-10-2017,47,Wholesale,NZD,AXW291,74,7,10,1105.5,674.355,11055,6743.55,4311.45
SO - 0005986,12-10-2017,20-10-2017,6,Wholesale,NZD,AXW291,46,7,11,3939.6,2560.74,43335.6,28168.14,15167.46
SO - 0003321,13-10-2017,26-10-2017,12,Wholesale,NZD,AXW291,16,7,5,1078.7,690.368,5393.5,3451.84,1941.66
SO - 0004297,16-10-2017,01-11-2017,25,Wholesale,NZD,AXW291,81,7,9,247.9,101.639,2231.1,914.751,1316.349
SO - 0005909,20-10-2017,02-11-2017,40,Wholesale,NZD,AXW291,4,7,9,3859.2,1813.824,34732.8,16324.416,18408.384
SO - 0006563,25-10-2017,05-11-2017,31,Wholesale,NZD,AXW291,50,7,8,2572.8,1054.848,20582.4,8438.784,12143.616
SO - 0003126,26-10-2017,09-11-2017,39,Wholesale,NZD,AXW291,87,7,12,2941.3,2176.562,35295.6,26118.744,9176.856
SO - 0003343,02-11-2017,14-11-2017,14,Wholesale,NZD,AXW291,93,7,10,5835.7,4026.633,58357,40266.33,18090.67
SO - 0005721,05-11-2017,18-11-2017,25,Wholesale,NZD,AXW291,83,7,12,4006.6,3125.148,48079.2,37501.776,10577.424
SO - 000515,07-11-2017,11-11-2017,6,Wholesale,NZD,AXW291,61,7,7,1829.1,1463.28,12803.7,10242.96,2560.74
SO - 000175,08-11-2017,11-11-2017,1,Wholesale,NZD,AXW291,72,7,11,2224.4,1579.324,24468.4,17372.564,7095.836
SO - 0002211,09-11-2017,17-11-2017,11,Wholesale,NZD,AXW291,24,7,9,2010,1386.9,18090,12482.1,5607.9
SO - 0005059,15-11-2017,22-11-2017,11,Wholesale,NZD,AXW291,26,7,8,6090.3,2618.829,48722.4,20950.632,27771.768
SO - 000262,16-11-2017,28-11-2017,31,Wholesale,NZD,AXW291,35,7,8,1105.5,652.245,8844,5217.96,3626.04
SO - 0004577,17-11-2017,26-11-2017,46,Wholesale,NZD,AXW291,81,7,7,1715.2,943.36,12006.4,6603.52,5402.88
SO - 000153,20-11-2017,03-12-2017,8,Wholesale,NZD,AXW291,25,7,11,3926.2,3062.436,43188.2,33686.796,9501.404
SO - 0005152,21-11-2017,02-12-2017,38,Wholesale,NZD,AXW291,36,7,5,1782.2,1354.472,8911,6772.36,2138.64
SO - 0007655,21-11-2017,01-12-2017,30,Wholesale,NZD,AXW291,43,7,11,1025.1,871.335,11276.1,9584.685,1691.415
SO - 0003265,26-11-2017,02-12-2017,45,Wholesale,NZD,AXW291,55,7,8,3973.1,1708.433,31784.8,13667.464,18117.336
SO - 0004019,28-11-2017,01-12-2017,19,Wholesale,NZD,AXW291,25,7,5,850.9,570.103,4254.5,2850.515,1403.985
SO - 0007780,29-11-2017,17-12-2017,40,Wholesale,NZD,AXW291,38,7,10,3966.4,2181.52,39664,21815.2,17848.8
SO - 0003405,03-12-2017,20-12-2017,8,Wholesale,NZD,AXW291,35,7,10,5721.8,3719.17,57218,37191.7,20026.3
SO - 0004235,04-12-2017,20-12-2017,31,Wholesale,NZD,AXW291,2,7,9,4006.6,1802.97,36059.4,16226.73,19832.67
SO - 0003335,06-12-2017,22-12-2017,19,Wholesale,NZD,AXW291,36,7,5,194.3,118.523,971.5,592.615,378.885
SO - 0004543,08-12-2017,15-12-2017,3,Wholesale,NZD,AXW291,35,7,12,6184.1,3772.301,74209.2,45267.612,28941.588
SO - 0006020,19-12-2017,23-12-2017,37,Wholesale,NZD,AXW291,60,7,10,5118.8,3890.288,51188,38902.88,12285.12
SO - 000978,21-12-2017,27-12-2017,18,Wholesale,NZD,AXW291,72,7,8,180.9,135.675,1447.2,1085.4,361.8
SO - 0001662,22-12-2017,29-12-2017,48,Wholesale,NZD,AXW291,95,7,7,241.2,115.776,1688.4,810.432,877.968
SO - 0007434,23-12-2017,03-01-2018,10,Wholesale,NZD,AXW291,34,7,10,1768.8,1238.16,17688,12381.6,5306.4
SO - 0002146,25-12-2017,12-01-2018,33,Wholesale,NZD,AXW291,23,7,11,1896.1,1346.231,20857.1,14808.541,6048.559
SO - 0006568,01-01-2018,18-01-2018,26,Wholesale,NZD,AXW291,3,7,9,234.5,194.635,2110.5,1751.715,358.785
SO - 0002641,07-01-2018,11-01-2018,2,Wholesale,NZD,AXW291,10,7,10,2613,1620.06,26130,16200.6,9929.4
SO - 0007171,12-01-2018,20-01-2018,5,Wholesale,NZD,AXW291,59,7,5,5621.3,3260.354,28106.5,16301.77,11804.73
SO - 000707,18-01-2018,27-01-2018,17,Wholesale,NZD,AXW291,39,7,5,3886,2797.92,19430,13989.6,5440.4
SO - 0002694,21-01-2018,28-01-2018,18,Wholesale,NZD,AXW291,13,7,11,1728.6,1037.16,19014.6,11408.76,7605.84
SO - 0002758,21-01-2018,02-02-2018,14,Wholesale,NZD,AXW291,65,7,8,904.5,642.195,7236,5137.56,2098.44
SO - 0002762,21-01-2018,04-02-2018,50,Wholesale,NZD,AXW291,34,7,12,1098.8,813.112,13185.6,9757.344,3428.256
SO - 0003787,28-01-2018,12-02-2018,20,Wholesale,NZD,AXW291,16,7,12,2405.3,1250.756,28863.6,15009.072,13854.528
SO - 000316,03-02-2018,19-02-2018,14,Wholesale,NZD,AXW291,10,7,5,3939.6,1969.8,19698,9849,9849
SO - 0001428,04-02-2018,22-02-2018,32,Wholesale,NZD,AXW291,24,7,11,2512.5,2060.25,27637.5,22662.75,4974.75
SO - 0005590,11-02-2018,24-02-2018,30,Wholesale,NZD,AXW291,49,7,11,4013.3,2528.379,44146.3,27812.169,16334.131
SO - 000482,12-02-2018,01-03-2018,42,Wholesale,NZD,AXW291,10,7,6,864.3,726.012,5185.8,4356.072,829.728
SO - 0005163,16-02-2018,28-02-2018,19,Wholesale,NZD,AXW291,98,7,9,931.3,605.345,8381.7,5448.105,2933.595
SO - 0006517,17-02-2018,27-02-2018,19,Wholesale,NZD,AXW291,47,7,11,227.8,134.402,2505.8,1478.422,1027.378
SO - 0004750,20-02-2018,28-02-2018,28,Wholesale,NZD,AXW291,21,7,9,1125.6,461.496,10130.4,4153.464,5976.936
SO - 0005760,20-02-2018,01-03-2018,42,Wholesale,NZD,AXW291,82,7,7,2398.6,1750.978,16790.2,12256.846,4533.354
SO - 0003449,25-02-2018,12-03-2018,29,Wholesale,NZD,AXW291,20,7,5,2599.6,1429.78,12998,7148.9,5849.1
SO - 0001407,01-03-2018,06-03-2018,36,Wholesale,NZD,AXW291,58,7,10,3865.9,1816.973,38659,18169.73,20489.27
SO - 0004190,03-03-2018,16-03-2018,18,Wholesale,NZD,AXW291,32,7,10,3946.3,2249.391,39463,22493.91,16969.09
SO - 0006858,04-03-2018,19-03-2018,29,Wholesale,NZD,AXW291,28,7,9,911.2,628.728,8200.8,5658.552,2542.248
SO - 0003010,08-03-2018,26-03-2018,47,Wholesale,NZD,AXW291,21,7,12,2519.2,1990.168,30230.4,23882.016,6348.384
SO - 0007711,08-03-2018,20-03-2018,28,Wholesale,NZD,AXW291,96,7,12,1132.3,781.287,13587.6,9375.444,4212.156
SO - 000194,12-03-2018,17-03-2018,11,Wholesale,NZD,AXW291,96,7,5,5031.7,4025.36,25158.5,20126.8,5031.7
SO - 0003218,16-03-2018,21-03-2018,32,Wholesale,NZD,AXW291,27,7,10,1909.5,1355.745,19095,13557.45,5537.55
SO - 0004997,17-03-2018,22-03-2018,38,Wholesale,NZD,AXW291,2,7,8,2231.1,892.44,17848.8,7139.52,10709.28
SO - 0003525,22-03-2018,04-04-2018,39,Wholesale,NZD,AXW291,20,7,12,5989.8,4552.248,71877.6,54626.976,17250.624
SO - 0006342,23-03-2018,04-04-2018,16,Wholesale,NZD,AXW291,84,7,11,2626.4,1891.008,28890.4,20801.088,8089.312
SO - 0006006,26-03-2018,04-04-2018,2,Wholesale,NZD,AXW291,52,7,7,984.9,679.581,6894.3,4757.067,2137.233
SO - 0003913,29-03-2018,07-04-2018,47,Wholesale,NZD,AXW291,57,7,6,1768.8,1167.408,10612.8,7004.448,3608.352
SO - 0003400,06-04-2018,11-04-2018,10,Wholesale,NZD,AXW291,41,7,10,817.4,645.746,8174,6457.46,1716.54
SO - 0004547,07-04-2018,14-04-2018,9,Wholesale,NZD,AXW291,83,7,10,1139,569.5,11390,5695,5695
SO - 0004960,09-04-2018,22-04-2018,7,Wholesale,NZD,AXW291,47,7,12,3926.2,2944.65,47114.4,35335.8,11778.6
SO - 000869,11-04-2018,25-04-2018,25,Wholesale,NZD,AXW291,36,7,6,2666.6,1253.302,15999.6,7519.812,8479.788
SO - 000368,12-04-2018,21-04-2018,1,Wholesale,NZD,AXW291,34,7,10,5098.7,3416.129,50987,34161.29,16825.71
SO - 0001154,14-04-2018,25-04-2018,35,Wholesale,NZD,AXW291,89,7,10,1695.1,1254.374,16951,12543.74,4407.26
SO - 0005601,14-04-2018,28-04-2018,14,Wholesale,NZD,AXW291,27,7,10,1695.1,1406.933,16951,14069.33,2881.67
SO - 0006721,22-04-2018,10-05-2018,8,Wholesale,NZD,AXW291,63,7,8,3477.3,1947.288,27818.4,15578.304,12240.096
SO - 0002577,24-04-2018,28-04-2018,41,Wholesale,NZD,AXW291,58,7,8,958.1,795.223,7664.8,6361.784,1303.016
SO - 0004034,28-04-2018,08-05-2018,27,Wholesale,NZD,AXW291,53,7,9,3953,2925.22,35577,26326.98,9250.02
SO - 0002455,01-05-2018,09-05-2018,16,Wholesale,NZD,AXW291,25,7,7,1058.6,529.3,7410.2,3705.1,3705.1
SO - 0002588,01-05-2018,19-05-2018,34,Wholesale,NZD,AXW291,17,7,8,2271.3,1067.511,18170.4,8540.088,9630.312
SO - 000192,14-05-2018,29-05-2018,24,Wholesale,NZD,AXW291,9,7,8,1152.4,622.296,9219.2,4978.368,4240.832
SO - 0003061,14-05-2018,19-05-2018,31,Wholesale,NZD,AXW291,81,7,6,1688.4,1401.372,10130.4,8408.232,1722.168
SO - 0003324,15-05-2018,26-05-2018,49,Wholesale,NZD,AXW291,26,7,11,247.9,173.53,2726.9,1908.83,818.07
SO - 000783,16-05-2018,21-05-2018,13,Wholesale,NZD,AXW291,79,7,11,3865.9,3092.72,42524.9,34019.92,8504.98
SO - 0001516,16-05-2018,19-05-2018,49,Wholesale,NZD,AXW291,71,7,5,3236.1,2329.992,16180.5,11649.96,4530.54
SO - 0005976,16-05-2018,30-05-2018,29,Wholesale,NZD,AXW291,64,7,7,1212.7,812.509,8488.9,5687.563,2801.337
SO - 0004592,03-01-2017,06-01-2017,17,Wholesale,NZD,AXW291,6,2,12,5406.9,3676.692,64882.8,44120.304,20762.496
SO - 0005716,03-01-2017,08-01-2017,11,Wholesale,NZD,AXW291,60,2,12,234.5,189.945,2814,2279.34,534.66
SO - 0005751,03-01-2017,21-01-2017,29,Wholesale,NZD,AXW291,47,2,5,1943,1651.55,9715,8257.75,1457.25
SO - 0003221,11-01-2017,18-01-2017,49,Wholesale,NZD,AXW291,27,2,9,2237.8,1409.814,20140.2,12688.326,7451.874
SO - 0008075,13-01-2017,29-01-2017,30,Wholesale,NZD,AXW291,84,2,7,790.6,490.172,5534.2,3431.204,2102.996
SO - 0001466,17-01-2017,27-01-2017,24,Wholesale,NZD,AXW291,94,2,10,1172.5,715.225,11725,7152.25,4572.75
SO - 0005207,26-01-2017,05-02-2017,32,Wholesale,NZD,AXW291,34,2,10,857.6,497.408,8576,4974.08,3601.92
SO - 0005249,26-01-2017,29-01-2017,15,Wholesale,NZD,AXW291,55,2,11,1192.6,632.078,13118.6,6952.858,6165.742
SO - 0006238,30-01-2017,04-02-2017,2,Wholesale,NZD,AXW291,55,2,9,2338.3,1286.065,21044.7,11574.585,9470.115
SO - 0007852,10-02-2017,15-02-2017,3,Wholesale,NZD,AXW291,44,2,9,1956.4,1604.248,17607.6,14438.232,3169.368
SO - 0005324,14-02-2017,24-02-2017,50,Wholesale,NZD,AXW291,79,2,5,971.5,641.19,4857.5,3205.95,1651.55
SO - 000801,16-02-2017,21-02-2017,33,Wholesale,NZD,AXW291,96,2,5,1065.3,671.139,5326.5,3355.695,1970.805
SO - 0006971,17-02-2017,28-02-2017,20,Wholesale,NZD,AXW291,38,2,10,221.1,119.394,2211,1193.94,1017.06
SO - 000962,03-03-2017,17-03-2017,24,Wholesale,NZD,AXW291,43,2,9,837.5,644.875,7537.5,5803.875,1733.625
SO - 0002405,05-03-2017,23-03-2017,23,Wholesale,NZD,AXW291,70,2,7,964.8,694.656,6753.6,4862.592,1891.008
SO - 0007671,10-03-2017,23-03-2017,16,Wholesale,NZD,AXW291,61,2,7,2559.4,1023.76,17915.8,7166.32,10749.48
SO - 0002793,17-03-2017,04-04-2017,17,Wholesale,NZD,AXW291,1,2,7,1051.9,841.52,7363.3,5890.64,1472.66
SO - 0004919,20-03-2017,30-03-2017,23,Wholesale,NZD,AXW291,80,2,5,1963.1,1040.443,9815.5,5202.215,4613.285
SO - 0002404,21-03-2017,01-04-2017,44,Wholesale,NZD,AXW291,25,2,9,6157.3,4802.694,55415.7,43224.246,12191.454
SO - 0002282,27-03-2017,31-03-2017,39,Wholesale,NZD,AXW291,42,2,9,2418.7,1596.342,21768.3,14367.078,7401.222
SO - 000230,30-03-2017,02-04-2017,6,Wholesale,NZD,AXW291,77,2,5,261.3,112.359,1306.5,561.795,744.705
SO - 0002203,02-04-2017,13-04-2017,18,Wholesale,NZD,AXW291,4,2,9,3819,2405.97,34371,21653.73,12717.27
SO - 0007494,02-04-2017,14-04-2017,29,Wholesale,NZD,AXW291,16,2,10,1943,796.63,19430,7966.3,11463.7
SO - 0005951,07-04-2017,21-04-2017,36,Wholesale,NZD,AXW291,37,2,8,3819,2902.44,30552,23219.52,7332.48
SO - 0007528,12-04-2017,25-04-2017,33,Wholesale,NZD,AXW291,62,2,6,2921.2,2307.748,17527.2,13846.488,3680.712
SO - 0001966,20-04-2017,29-04-2017,23,Wholesale,NZD,AXW291,71,2,10,1172.5,973.175,11725,9731.75,1993.25
SO - 0005075,24-04-2017,12-05-2017,7,Wholesale,NZD,AXW291,32,2,10,1252.9,989.791,12529,9897.91,2631.09
SO - 0003258,27-04-2017,06-05-2017,11,Wholesale,NZD,AXW291,40,2,11,5788.8,2952.288,63676.8,32475.168,31201.632
SO - 000963,28-04-2017,06-05-2017,37,Wholesale,NZD,AXW291,43,2,12,1172.5,480.725,14070,5768.7,8301.3
SO - 0006414,28-04-2017,03-05-2017,11,Wholesale,NZD,AXW291,15,2,11,924.6,591.744,10170.6,6509.184,3661.416
SO - 000564,29-04-2017,14-05-2017,27,Wholesale,NZD,AXW291,52,2,5,857.6,394.496,4288,1972.48,2315.52
SO - 0005365,04-05-2017,18-05-2017,19,Wholesale,NZD,AXW291,77,2,9,1051.9,557.507,9467.1,5017.563,4449.537
SO - 0005975,11-05-2017,23-05-2017,5,Wholesale,NZD,AXW291,58,2,11,931.3,754.353,10244.3,8297.883,1946.417
SO - 000990,13-05-2017,27-05-2017,34,Wholesale,NZD,AXW291,28,2,5,1065.3,649.833,5326.5,3249.165,2077.335
SO - 0006589,18-05-2017,26-05-2017,10,Wholesale,NZD,AXW291,77,2,8,3028.4,1423.348,24227.2,11386.784,12840.416
SO - 0005121,19-05-2017,23-05-2017,28,Wholesale,NZD,AXW291,23,2,6,5681.6,4090.752,34089.6,24544.512,9545.088
SO - 000786,29-05-2017,05-06-2017,31,Wholesale,NZD,AXW291,50,2,11,3008.3,2406.64,33091.3,26473.04,6618.26
SO - 0004249,19-06-2017,22-06-2017,40,Wholesale,NZD,AXW291,23,2,5,2532.6,1013.04,12663,5065.2,7597.8
SO - 0003974,23-06-2017,09-07-2017,9,Wholesale,NZD,AXW291,33,2,6,187.6,133.196,1125.6,799.176,326.424
SO - 000159,25-06-2017,05-07-2017,47,Wholesale,NZD,AXW291,91,2,12,857.6,686.08,10291.2,8232.96,2058.24
SO - 000419,30-06-2017,16-07-2017,47,Wholesale,NZD,AXW291,74,2,7,1092.1,546.05,7644.7,3822.35,3822.35
SO - 0001331,02-07-2017,08-07-2017,46,Wholesale,NZD,AXW291,68,2,8,2385.2,1836.604,19081.6,14692.832,4388.768
SO - 0002948,02-07-2017,16-07-2017,18,Wholesale,NZD,AXW291,64,2,8,3966.4,2657.488,31731.2,21259.904,10471.296
SO - 0007554,03-07-2017,13-07-2017,23,Wholesale,NZD,AXW291,53,2,5,2452.2,1741.062,12261,8705.31,3555.69
SO - 0002291,04-07-2017,08-07-2017,3,Wholesale,NZD,AXW291,59,2,10,2271.3,1476.345,22713,14763.45,7949.55
SO - 0006957,06-07-2017,23-07-2017,11,Wholesale,NZD,AXW291,38,2,9,1025.1,461.295,9225.9,4151.655,5074.245
SO - 0005361,07-07-2017,12-07-2017,39,Wholesale,NZD,AXW291,47,2,9,670,435.5,6030,3919.5,2110.5
SO - 0007482,08-07-2017,18-07-2017,27,Wholesale,NZD,AXW291,33,2,7,3068.6,2454.88,21480.2,17184.16,4296.04
SO - 0001748,11-07-2017,14-07-2017,25,Wholesale,NZD,AXW291,65,2,12,3296.4,2571.192,39556.8,30854.304,8702.496
