OrderNumber,Order_Date,Ship Date,Customer Name Index,Channel,Currency Code,Warehouse Code,Delivery Region Index,Product Description Index,Order Quantity,Unit Selling Price,Unit Cost,Sales,Total Cost,Profit
"SO - 0008001",2017-03-05 00:00:00.000,2017-03-17 00:00:00.000,11,"Wholesale","NZD","AXW291",56,7,11,167.5,72.025,1842.5,792.27500000000009,1050.225
"SO - 0004331",2017-03-10 00:00:00.000,2017-03-20 00:00:00.000,50,"Wholesale","NZD","AXW291",2,7,7,1105.5,585.91500000000008,7738.5,4101.4050000000007,3637.0949999999993
"SO - 0004023",2017-03-13 00:00:00.000,2017-03-25 00:00:00.000,11,"Wholesale","NZD","AXW291",19,7,5,1775.5,1384.89,8877.5,6924.4500000000007,1953.0499999999993
"SO - 0005092",2017-03-19 00:00:00.000,2017-04-05 00:00:00.000,20,"Wholesale","NZD","AXW291",33,7,11,938,684.74,10318,7532.14,2785.8599999999997
"SO - 0006521",2017-03-19 00:00:00.000,2017-04-05 00:00:00.000,45,"Wholesale","NZD","AXW291",8,7,11,1072,536,11792,5896,5896
"SO - 000659",2017-03-21 00:00:00.000,2017-03-24 00:00:00.000,29,"Wholesale","NZD","AXW291",74,7,9,5427,3744.6299999999997,48843,33701.67,15141.330000000002
"SO - 0006326",2017-03-23 00:00:00.000,2017-04-03 00:00:00.000,42,"Wholesale","NZD","AXW291",23,7,10,2800.6,1316.282,28006,13162.82,14843.18
"SO - 0003881",2017-03-24 00:00:00.000,2017-04-04 00:00:00.000,40,"Wholesale","NZD","AXW291",21,7,10,857.6,651.77600000000007,8576,6517.76,2058.24
"SO - 0002266",2017-03-26 00:00:00.000,2017-04-13 00:00:00.000,16,"Wholesale","NZD","AXW291",68,7,6,1829.1000000000001,804.80400000000009,10974.6,4828.8240000000005,6145.776
"SO - 0004585",2017-03-28 00:00:00.000,2017-04-08 00:00:00.000,8,"Wholesale","NZD","AXW291",80,7,6,3966.4,2141.856,23798.4,12851.136000000002,10947.264
"SO - 0003583",2017-03-29 00:00:00.000,2017-04-01 00:00:00.000,19,"Wholesale","NZD","AXW291",4,7,10,261.3,167.232,2613,1672.32,940.68000000000006
"SO - 0001894",2017-03-31 00:00:00.000,2017-04-12 00:00:00.000,37,"Wholesale","NZD","AXW291",32,7,10,1092.1000000000001,666.181,10921.000000000002,6661.81,4259.1900000000014
"SO - 000258",2017-04-07 00:00:00.000,2017-04-21 00:00:00.000,28,"Wholesale","NZD","AXW291",6,7,11,2385.2000000000003,1502.6760000000002,26237.200000000004,16529.436,9707.7640000000029
"SO - 0002498",2017-04-14 00:00:00.000,2017-04-29 00:00:00.000,30,"Wholesale","NZD","AXW291",40,7,9,1909.5,1413.03,17185.5,12717.27,4468.23
"SO - 0004584",2017-04-19 00:00:00.000,2017-04-29 00:00:00.000,18,"Wholesale","NZD","AXW291",60,7,10,187.6,91.923999999999992,1876,919.2399999999999,956.7600000000001
"SO - 0006036",2017-04-20 00:00:00.000,2017-05-04 00:00:00.000,1,"Wholesale","NZD","AXW291",25,7,7,201,120.6,1407,844.19999999999993,562.80000000000007
"SO - 0004953",2017-05-03 00:00:00.000,2017-05-13 00:00:00.000,27,"Wholesale","NZD","AXW291",95,7,10,1145.7,458.28000000000003,11457,4582.8,6874.2
"SO - 0005267",2017-05-11 00:00:00.000,2017-05-22 00:00:00.000,21,"Wholesale","NZD","AXW291",96,7,6,2345,1195.95,14070,7175.7000000000007,6894.2999999999993
"SO - 0004948",2017-05-14 00:00:00.000,2017-05-26 00:00:00.000,13,"Wholesale","NZD","AXW291",89,7,5,3953,2648.51,19765,13242.550000000001,6522.4499999999989
"SO - 0005592",2017-05-15 00:00:00.000,2017-05-20 00:00:00.000,27,"Wholesale","NZD","AXW291",90,7,9,1098.8,922.992,9889.1999999999989,8306.928,1582.271999999999
"SO - 0002975",2017-05-17 00:00:00.000,2017-05-28 00:00:00.000,8,"Wholesale","NZD","AXW291",39,7,7,2324.9,1371.691,16274.300000000001,9601.837,6672.4630000000016
"SO - 0006224",2017-05-18 00:00:00.000,2017-05-21 00:00:00.000,49,"Wholesale","NZD","AXW291",87,7,6,891.1,605.94800000000009,5346.6,3635.6880000000006,1710.9119999999998
"SO - 0001882",2017-05-27 00:00:00.000,2017-06-07 00:00:00.000,18,"Wholesale","NZD","AXW291",85,7,12,1038.5,768.49,12462,9221.880000000001,3240.119999999999
"SO - 0003896",2017-05-27 00:00:00.000,2017-06-01 00:00:00.000,39,"Wholesale","NZD","AXW291",22,7,8,3725.2000000000003,2644.8920000000003,29801.600000000002,21159.136000000002,8642.464
"SO - 0004694",2017-06-01 00:00:00.000,2017-06-14 00:00:00.000,40,"Wholesale","NZD","AXW291",83,7,12,1728.6000000000001,1279.164,20743.2,15349.968,5393.232
"SO - 0005761",2017-06-04 00:00:00.000,2017-06-12 00:00:00.000,34,"Wholesale","NZD","AXW291",4,7,7,1078.7,862.96,7550.9000000000015,6040.72,1510.1800000000003
"SO - 000964",2017-06-06 00:00:00.000,2017-06-20 00:00:00.000,20,"Wholesale","NZD","AXW291",1,7,10,268,123.28,2680,1232.8,1447.2
"SO - 0002326",2017-06-07 00:00:00.000,2017-06-20 00:00:00.000,31,"Wholesale","NZD","AXW291",18,7,9,3035.1,1578.252,27315.899999999998,14204.268,13111.631999999998
"SO - 0004364",2017-06-09 00:00:00.000,2017-06-18 00:00:00.000,20,"Wholesale","NZD","AXW291",9,7,5,1876,1050.5600000000002,9380,5252.8000000000011,4127.1999999999989
"SO - 0005188",2017-06-09 00:00:00.000,2017-06-17 00:00:00.000,12,"Wholesale","NZD","AXW291",82,7,7,3926.2000000000003,2002.362,27483.4,14016.534,13466.866000000002
"SO - 000620",2017-06-14 00:00:00.000,2017-07-02 00:00:00.000,23,"Wholesale","NZD","AXW291",100,7,11,2405.3,1635.6040000000003,26458.300000000003,17991.644000000004,8466.655999999999
"SO - 0006331",2017-06-15 00:00:00.000,2017-06-30 00:00:00.000,26,"Wholesale","NZD","AXW291",38,7,5,1078.7,571.711,5393.5,2858.5550000000003,2534.9449999999997
"SO - 0005452",2017-06-18 00:00:00.000,2017-06-21 00:00:00.000,33,"Wholesale","NZD","AXW291",66,7,5,3986.5,1993.25,19932.5,9966.25,9966.25
"SO - 0002914",2017-06-25 00:00:00.000,2017-07-13 00:00:00.000,7,"Wholesale","NZD","AXW291",28,7,10,3551,2414.6800000000003,35510,24146.800000000003,11363.199999999997
"SO - 0006055",2017-07-10 00:00:00.000,2017-07-23 00:00:00.000,6,"Wholesale","NZD","AXW291",18,7,7,2968.1,1869.903,20776.7,13089.321,7687.3790000000008
"SO - 0005347",2017-07-13 00:00:00.000,2017-07-27 00:00:00.000,5,"Wholesale","NZD","AXW291",57,7,8,3852.5,3236.1,30820,25888.8,4931.2000000000007
"SO - 0003450",2017-07-18 00:00:00.000,2017-07-24 00:00:00.000,20,"Wholesale","NZD","AXW291",73,7,10,254.6,178.22,2546,1782.2,763.8
"SO - 000524",2017-07-22 00:00:00.000,2017-08-01 00:00:00.000,21,"Wholesale","NZD","AXW291",28,7,5,207.70000000000002,83.080000000000013,1038.5,415.40000000000009,623.09999999999991
"SO - 0005439",2017-07-25 00:00:00.000,2017-07-29 00:00:00.000,44,"Wholesale","NZD","AXW291",99,7,6,180.9,139.293,1085.4,835.758,249.64200000000005
"SO - 0006639",2017-07-25 00:00:00.000,2017-07-28 00:00:00.000,10,"Wholesale","NZD","AXW291",76,7,5,1025.1000000000001,717.57,5125.5000000000009,3587.8500000000004,1537.6500000000005
"SO - 0001253",2017-07-27 00:00:00.000,2017-08-07 00:00:00.000,40,"Wholesale","NZD","AXW291",3,7,6,207.70000000000002,174.46800000000002,1246.2,1046.808,199.39200000000005
"SO - 0006278",2017-08-07 00:00:00.000,2017-08-11 00:00:00.000,1,"Wholesale","NZD","AXW291",22,7,10,1715.2,1457.92,17152,14579.2,2572.7999999999993
"SO - 000269",2017-08-10 00:00:00.000,2017-08-13 00:00:00.000,8,"Wholesale","NZD","AXW291",57,7,5,844.2,540.288,4221,2701.44,1519.56
"SO - 0007461",2017-08-11 00:00:00.000,2017-08-21 00:00:00.000,44,"Wholesale","NZD","AXW291",31,7,5,3892.7000000000003,2763.817,19463.5,13819.085,5644.4150000000009
"SO - 0004943",2017-08-16 00:00:00.000,2017-09-03 00:00:00.000,25,"Wholesale","NZD","AXW291",71,7,11,3986.5,2551.36,43851.5,28064.960000000003,15786.539999999997
"SO - 0002938",2017-08-18 00:00:00.000,2017-09-01 00:00:00.000,38,"Wholesale","NZD","AXW291",60,7,12,2572.8,1080.576,30873.600000000002,12966.912,17906.688000000002
"SO - 0001731",2017-08-20 00:00:00.000,2017-09-06 00:00:00.000,26,"Wholesale","NZD","AXW291",82,7,7,194.3,79.663,1360.1000000000001,557.641,802.45900000000017
"SO - 000690",2017-08-25 00:00:00.000,2017-09-01 00:00:00.000,5,"Wholesale","NZD","AXW291",9,7,5,683.4,382.704,3417,1913.52,1503.48
"SO - 0001684",2017-08-25 00:00:00.000,2017-09-12 00:00:00.000,19,"Wholesale","NZD","AXW291",31,7,5,917.9,514.024,4589.5,2570.12,2019.38
"SO - 0005172",2017-08-26 00:00:00.000,2017-09-07 00:00:00.000,5,"Wholesale","NZD","AXW291",51,7,9,1340,978.19999999999993,12060,8803.8,3256.2000000000007
"SO - 0005606",2017-08-29 00:00:00.000,2017-09-09 00:00:00.000,5,"Wholesale","NZD","AXW291",17,7,5,1098.8,769.16,5494,3845.7999999999997,1648.2000000000003
"SO - 0002043",2017-08-31 00:00:00.000,2017-09-16 00:00:00.000,2,"Wholesale","NZD","AXW291",8,7,12,1011.7,536.201,12140.400000000001,6434.412,5705.9880000000012
"SO - 0003371",2017-09-04 00:00:00.000,2017-09-14 00:00:00.000,16,"Wholesale","NZD","AXW291",37,7,11,3899.4,3314.49,42893.4,36459.39,6434.010000000002
"SO - 0003413",2017-09-07 00:00:00.000,2017-09-22 00:00:00.000,5,"Wholesale","NZD","AXW291",39,7,12,5326.5,2503.455,63918,30041.46,33876.54
"SO - 0006752",2017-09-11 00:00:00.000,2017-09-19 00:00:00.000,29,"Wholesale","NZD","AXW291",37,7,11,3906.1,3203.002,42967.1,35233.022,7734.0780000000013
"SO - 0007953",2017-09-14 00:00:00.000,2017-09-19 00:00:00.000,42,"Wholesale","NZD","AXW291",85,7,7,2345,1782.2,16415,12475.4,3939.6000000000004
"SO - 0001010",2017-09-20 00:00:00.000,2017-10-06 00:00:00.000,2,"Wholesale","NZD","AXW291",18,7,9,1078.7,593.28500000000008,9708.3000000000011,5339.5650000000005,4368.7350000000006
"SO - 0003317",2017-09-27 00:00:00.000,2017-10-14 00:00:00.000,1,"Wholesale","NZD","AXW291",96,7,12,2807.3,1908.9640000000002,33687.600000000006,22907.568000000003,10780.032000000003
"SO - 000695",2017-10-03 00:00:00.000,2017-10-16 00:00:00.000,43,"Wholesale","NZD","AXW291",92,7,9,3852.5,3043.4750000000004,34672.5,27391.275,7281.2249999999985
"SO - 0006526",2017-10-03 00:00:00.000,2017-10-12 00:00:00.000,33,"Wholesale","NZD","AXW291",27,7,5,1782.2,1283.184,8911,6415.92,2495.08
"SO - 0001124",2017-10-10 00:00:00.000,2017-10-21 00:00:00.000,20,"Wholesale","NZD","AXW291",53,7,11,1695.1000000000001,1101.815,18646.100000000002,12119.965,6526.135000000002
"SO - 0003471",2017-10-11 00:00:00.000,2017-10-29 00:00:00.000,25,"Wholesale","NZD","AXW291",42,7,5,1051.9,462.83600000000007,5259.5,2314.1800000000003,2945.3199999999997
"SO - 0006265",2017-10-11 00:00:00.000,2017-10-14 00:00:00.000,47,"Wholesale","NZD","AXW291",74,7,10,1105.5,674.355,11055,6743.55,4311.45
"SO - 0005986",2017-10-12 00:00:00.000,2017-10-20 00:00:00.000,6,"Wholesale","NZD","AXW291",46,7,11,3939.6,2560.7400000000002,43335.6,28168.140000000003,15167.459999999995
"SO - 0003321",2017-10-13 00:00:00.000,2017-10-26 00:00:00.000,12,"Wholesale","NZD","AXW291",16,7,5,1078.7,690.368,5393.5,3451.84,1941.6599999999999
"SO - 0004297",2017-10-16 00:00:00.000,2017-11-01 00:00:00.000,25,"Wholesale","NZD","AXW291",81,7,9,247.9,101.639,2231.1,914.751,1316.349
"SO - 0005909",2017-10-20 00:00:00.000,2017-11-02 00:00:00.000,40,"Wholesale","NZD","AXW291",4,7,9,3859.2000000000003,1813.824,34732.8,16324.416000000001,18408.384000000002
"SO - 0006563",2017-10-25 00:00:00.000,2017-11-05 00:00:00.000,31,"Wholesale","NZD","AXW291",50,7,8,2572.8,1054.848,20582.4,8438.784,12143.616000000002
"SO - 0003126",2017-10-26 00:00:00.000,2017-11-09 00:00:00.000,39,"Wholesale","NZD","AXW291",87,7,12,2941.3,2176.562,35295.600000000006,26118.744,9176.856000000007
"SO - 0003343",2017-11-02 00:00:00.000,2017-11-14 00:00:00.000,14,"Wholesale","NZD","AXW291",93,7,10,5835.7,4026.6329999999994,58357,40266.329999999994,18090.670000000006
"SO - 0005721",2017-11-05 00:00:00.000,2017-11-18 00:00:00.000,25,"Wholesale","NZD","AXW291",83,7,12,4006.6,3125.148,48079.2,37501.776,10577.423999999999
"SO - 000515",2017-11-07 00:00:00.000,2017-11-11 00:00:00.000,6,"Wholesale","NZD","AXW291",61,7,7,1829.1000000000001,1463.2800000000002,12803.7,10242.960000000001,2560.74
"SO - 000175",2017-11-08 00:00:00.000,2017-11-11 00:00:00.000,1,"Wholesale","NZD","AXW291",72,7,11,2224.4,1579.324,24468.4,17372.564000000002,7095.8359999999993
"SO - 0002211",2017-11-09 00:00:00.000,2017-11-17 00:00:00.000,11,"Wholesale","NZD","AXW291",24,7,9,2010,1386.8999999999999,18090,12482.099999999999,5607.9000000000015
"SO - 0005059",2017-11-15 00:00:00.000,2017-11-22 00:00:00.000,11,"Wholesale","NZD","AXW291",26,7,8,6090.3,2618.829,48722.4,20950.632,27771.768
"SO - 000262",2017-11-16 00:00:00.000,2017-11-28 00:00:00.000,31,"Wholesale","NZD","AXW291",35,7,8,1105.5,652.245,8844,5217.96,3626.04
"SO - 0004577",2017-11-17 00:00:00.000,2017-11-26 00:00:00.000,46,"Wholesale","NZD","AXW291",81,7,7,1715.2,943.36000000000013,12006.4,6603.52,5402.8799999999992
"SO - 000153",2017-11-20 00:00:00.000,2017-12-03 00:00:00.000,8,"Wholesale","NZD","AXW291",25,7,11,3926.2000000000003,3062.436,43188.200000000004,33686.796,9501.4040000000023
"SO - 0005152",2017-11-21 00:00:00.000,2017-12-02 00:00:00.000,38,"Wholesale","NZD","AXW291",36,7,5,1782.2,1354.472,8911,6772.36,2138.6400000000003
"SO - 0007655",2017-11-21 00:00:00.000,2017-12-01 00:00:00.000,30,"Wholesale","NZD","AXW291",43,7,11,1025.1000000000001,871.335,11276.100000000002,9584.6850000000013,1691.4150000000009
"SO - 0003265",2017-11-26 00:00:00.000,2017-12-02 00:00:00.000,45,"Wholesale","NZD","AXW291",55,7,8,3973.1,1708.433,31784.8,13667.464,18117.336
"SO - 0004019",2017-11-28 00:00:00.000,2017-12-01 00:00:00.000,19,"Wholesale","NZD","AXW291",25,7,5,850.9,570.10300000000007,4254.5,2850.5150000000003,1403.9849999999997
"SO - 0007780",2017-11-29 00:00:00.000,2017-12-17 00:00:00.000,40,"Wholesale","NZD","AXW291",38,7,10,3966.4,2181.5200000000004,39664,21815.200000000004,17848.799999999996
"SO - 0003405",2017-12-03 00:00:00.000,2017-12-20 00:00:00.000,8,"Wholesale","NZD","AXW291",35,7,10,5721.8,3719.17,57218,37191.7,20026.300000000003
"SO - 0004235",2017-12-04 00:00:00.000,2017-12-20 00:00:00.000,31,"Wholesale","NZD","AXW291",2,7,9,4006.6,1802.97,36059.4,16226.73,19832.670000000002
"SO - 0003335",2017-12-06 00:00:00.000,2017-12-22 00:00:00.000,19,"Wholesale","NZD","AXW291",36,7,5,194.3,118.52300000000001,971.5,592.615,378.885
"SO - 0004543",2017-12-08 00:00:00.000,2017-12-15 00:00:00.000,3,"Wholesale","NZD","AXW291",35,7,12,6184.1,3772.301,74209.200000000012,45267.612,28941.588000000011
"SO - 0006020",2017-12-19 00:00:00.000,2017-12-23 00:00:00.000,37,"Wholesale","NZD","AXW291",60,7,10,5118.8,3890.288,51188,38902.88,12285.120000000003
"SO - 000978",2017-12-21 00:00:00.000,2017-12-27 00:00:00.000,18,"Wholesale","NZD","AXW291",72,7,8,180.9,135.675,1447.2,1085.4,361.79999999999995
"SO - 0001662",2017-12-22 00:00:00.000,2017-12-29 00:00:00.000,48,"Wholesale","NZD","AXW291",95,7,7,241.20000000000002,115.77600000000001,1688.4,810.432,877.96800000000007
"SO - 0007434",2017-12-23 00:00:00.000,2018-01-03 00:00:00.000,10,"Wholesale","NZD","AXW291",34,7,10,1768.8,1238.1599999999999,17688,12381.599999999999,5306.4000000000015
"SO - 0002146",2017-12-25 00:00:00.000,2018-01-12 00:00:00.000,33,"Wholesale","NZD","AXW291",23,7,11,1896.1000000000001,1346.231,20857.100000000002,14808.541,6048.5590000000029
"SO - 0006568",2018-01-01 00:00:00.000,2018-01-18 00:00:00.000,26,"Wholesale","NZD","AXW291",3,7,9,234.5,194.635,2110.5,1751.715,358.78500000000008
"SO - 0002641",2018-01-07 00:00:00.000,2018-01-11 00:00:00.000,2,"Wholesale","NZD","AXW291",10,7,10,2613,1620.06,26130,16200.599999999999,9929.4000000000015
"SO - 0007171",2018-01-12 00:00:00.000,2018-01-20 00:00:00.000,5,"Wholesale","NZD","AXW291",59,7,5,5621.3,3260.354,28106.5,16301.769999999999,11804.730000000001
"SO - 000707",2018-01-18 00:00:00.000,2018-01-27 00:00:00.000,17,"Wholesale","NZD","AXW291",39,7,5,3886,2797.92,19430,13989.6,5440.4
"SO - 0002694",2018-01-21 00:00:00.000,2018-01-28 00:00:00.000,18,"Wholesale","NZD","AXW291",13,7,11,1728.6000000000001,1037.16,19014.600000000002,11408.76,7605.840000000002
"SO - 0002758",2018-01-21 00:00:00.000,2018-02-02 00:00:00.000,14,"Wholesale","NZD","AXW291",65,7,8,904.5,642.19499999999994,7236,5137.5599999999995,2098.4400000000005
"SO - 0002762",2018-01-21 00:00:00.000,2018-02-04 00:00:00.000,50,"Wholesale","NZD","AXW291",34,7,12,1098.8,813.112,13185.599999999999,9757.344,3428.2559999999994
"SO - 0003787",2018-01-28 00:00:00.000,2018-02-12 00:00:00.000,20,"Wholesale","NZD","AXW291",16,7,12,2405.3,1250.756,28863.600000000002,15009.072,13854.528000000002
"SO - 000316",2018-02-03 00:00:00.000,2018-02-19 00:00:00.000,14,"Wholesale","NZD","AXW291",10,7,5,3939.6,1969.8,19698,9849,9849
"SO - 0001428",2018-02-04 00:00:00.000,2018-02-22 00:00:00.000,32,"Wholesale","NZD","AXW291",24,7,11,2512.5,2060.25,27637.5,22662.75,4974.75
"SO - 0005590",2018-02-11 00:00:00.000,2018-02-24 00:00:00.000,30,"Wholesale","NZD","AXW291",49,7,11,4013.3,2528.379,44146.3,27812.168999999998,16334.131000000005
"SO - 000482",2018-02-12 00:00:00.000,2018-03-01 00:00:00.000,42,"Wholesale","NZD","AXW291",10,7,6,864.30000000000007,726.01200000000006,5185.8,4356.072,829.72800000000007
"SO - 0005163",2018-02-16 00:00:00.000,2018-02-28 00:00:00.000,19,"Wholesale","NZD","AXW291",98,7,9,931.30000000000007,605.345,8381.7,5448.1050000000005,2933.5950000000003
"SO - 0006517",2018-02-17 00:00:00.000,2018-02-27 00:00:00.000,19,"Wholesale","NZD","AXW291",47,7,11,227.8,134.402,2505.8,1478.4219999999998,1027.3780000000004
"SO - 0004750",2018-02-20 00:00:00.000,2018-02-28 00:00:00.000,28,"Wholesale","NZD","AXW291",21,7,9,1125.6000000000001,461.49600000000004,10130.400000000001,4153.464,5976.9360000000015
"SO - 0005760",2018-02-20 00:00:00.000,2018-03-01 00:00:00.000,42,"Wholesale","NZD","AXW291",82,7,7,2398.6,1750.9779999999998,16790.2,12256.846,4533.3540000000012
"SO - 0003449",2018-02-25 00:00:00.000,2018-03-12 00:00:00.000,29,"Wholesale","NZD","AXW291",20,7,5,2599.6,1429.78,12998,7148.9,5849.1
"SO - 0001407",2018-03-01 00:00:00.000,2018-03-06 00:00:00.000,36,"Wholesale","NZD","AXW291",58,7,10,3865.9,1816.973,38659,18169.73,20489.27
"SO - 0004190",2018-03-03 00:00:00.000,2018-03-16 00:00:00.000,18,"Wholesale","NZD","AXW291",32,7,10,3946.3,2249.391,39463,22493.91,16969.09
"SO - 0006858",2018-03-04 00:00:00.000,2018-03-19 00:00:00.000,29,"Wholesale","NZD","AXW291",28,7,9,911.2,628.728,8200.8000000000011,5658.552,2542.2480000000014
"SO - 0003010",2018-03-08 00:00:00.000,2018-03-26 00:00:00.000,47,"Wholesale","NZD","AXW291",21,7,12,2519.2000000000003,1990.1680000000003,30230.4,23882.016000000003,6348.3839999999982
"SO - 0007711",2018-03-08 00:00:00.000,2018-03-20 00:00:00.000,28,"Wholesale","NZD","AXW291",96,7,12,1132.3,781.28699999999992,13587.599999999999,9375.444,4212.155999999999
"SO - 000194",2018-03-12 00:00:00.000,2018-03-17 00:00:00.000,11,"Wholesale","NZD","AXW291",96,7,5,5031.7,4025.36,25158.5,20126.8,5031.7000000000007
"SO - 0003218",2018-03-16 00:00:00.000,2018-03-21 00:00:00.000,32,"Wholesale","NZD","AXW291",27,7,10,1909.5,1355.745,19095,13557.449999999999,5537.5500000000011
"SO - 0004997",2018-03-17 00:00:00.000,2018-03-22 00:00:00.000,38,"Wholesale","NZD","AXW291",2,7,8,2231.1,892.44,17848.8,7139.52,10709.279999999999
"SO - 0003525",2018-03-22 00:00:00.000,2018-04-04 00:00:00.000,39,"Wholesale","NZD","AXW291",20,7,12,5989.8,4552.2480000000005,71877.6,54626.97600000001,17250.623999999996
"SO - 0006342",2018-03-23 00:00:00.000,2018-04-04 00:00:00.000,16,"Wholesale","NZD","AXW291",84,7,11,2626.4,1891.008,28890.4,20801.088,8089.3120000000017
"SO - 0006006",2018-03-26 00:00:00.000,2018-04-04 00:00:00.000,2,"Wholesale","NZD","AXW291",52,7,7,984.9,679.5809999999999,6894.3,4757.0669999999991,2137.2330000000011
"SO - 0003913",2018-03-29 00:00:00.000,2018-04-07 00:00:00.000,47,"Wholesale","NZD","AXW291",57,7,6,1768.8,1167.4080000000001,10612.8,7004.448,3608.351999999999
"SO - 0003400",2018-04-06 00:00:00.000,2018-04-11 00:00:00.000,10,"Wholesale","NZD","AXW291",41,7,10,817.4,645.746,8174,6457.46,1716.54
"SO - 0004547",2018-04-07 00:00:00.000,2018-04-14 00:00:00.000,9,"Wholesale","NZD","AXW291",83,7,10,1139,569.5,11390,5695,5695
"SO - 0004960",2018-04-09 00:00:00.000,2018-04-22 00:00:00.000,7,"Wholesale","NZD","AXW291",47,7,12,3926.2000000000003,2944.65,47114.4,35335.8,11778.599999999999
"SO - 000869",2018-04-11 00:00:00.000,2018-04-25 00:00:00.000,25,"Wholesale","NZD","AXW291",36,7,6,2666.6,1253.302,15999.599999999999,7519.812,8479.7879999999986
"SO - 000368",2018-04-12 00:00:00.000,2018-04-21 00:00:00.000,1,"Wholesale","NZD","AXW291",34,7,10,5098.7,3416.129,50987,34161.29,16825.71
"SO - 0001154",2018-04-14 00:00:00.000,2018-04-25 00:00:00.000,35,"Wholesale","NZD","AXW291",89,7,10,1695.1000000000001,1254.374,16951,12543.74,4407.26
"SO - 0005601",2018-04-14 00:00:00.000,2018-04-28 00:00:00.000,14,"Wholesale","NZD","AXW291",27,7,10,1695.1000000000001,1406.933,16951,14069.33,2881.67
"SO - 0006721",2018-04-22 00:00:00.000,2018-05-10 00:00:00.000,8,"Wholesale","NZD","AXW291",63,7,8,3477.3,1947.2880000000002,27818.4,15578.304000000002,12240.096
"SO - 0002577",2018-04-24 00:00:00.000,2018-04-28 00:00:00.000,41,"Wholesale","NZD","AXW291",58,7,8,958.1,795.223,7664.8,6361.784,1303.0160000000005
"SO - 0004034",2018-04-28 00:00:00.000,2018-05-08 00:00:00.000,27,"Wholesale","NZD","AXW291",53,7,9,3953,2925.22,35577,26326.98,9250.02
"SO - 0002455",2018-05-01 00:00:00.000,2018-05-09 00:00:00.000,16,"Wholesale","NZD","AXW291",25,7,7,1058.6000000000001,529.30000000000007,7410.2000000000007,3705.1000000000004,3705.1000000000004
"SO - 0002588",2018-05-01 00:00:00.000,2018-05-19 00:00:00.000,34,"Wholesale","NZD","AXW291",17,7,8,2271.3,1067.511,18170.4,8540.088,9630.3120000000017
"SO - 000192",2018-05-14 00:00:00.000,2018-05-29 00:00:00.000,24,"Wholesale","NZD","AXW291",9,7,8,1152.4,622.296,9219.2,4978.368,4240.832
